docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Charging,,,,,none,none,no,0.0,0.0,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Tempering,parallel tempering,Q7135015,,randomized algorithm > algorithm > procedure > method > means,mode_score,mode_score,no,0.0,43.7,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Tempering,parallel tempering,Q7135015,,randomized algorithm > algorithm > work > artificial object > object,mode_score,mode_score,no,0.0,43.7,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Tempering,parallel tempering,Q7135015,,randomized algorithm > algorithm > work > cultural artifact > artificial object,mode_score,mode_score,no,0.0,43.7,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Tempering,parallel tempering,Q7135015,,randomized algorithm > algorithm > work > cultural artifact > cultural heritage,mode_score,mode_score,no,0.0,43.7,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > equipment > physical object,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > equipment > product,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > artificial physical object > physical object,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > artificial physical object > artificial object,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > artificial physical object > work,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > tool > object,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > appliance > physical tool > tool > means,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > technique > method > means > contributing factor,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > technique > activity > process > occurrent,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,electrospray ionization,Q902061,,ion source > technique > activity > process > sequence,mode_score,mode_score,no,0.0,33.2,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Charged droplets,,,,,none,none,no,0.0,0.0,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Charged clusters,,,,,none,none,no,0.0,0.0,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > mathematical object > abstract entity > entity,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > conceptual system > system,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > conceptual system > artificial object,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > conceptual system > abstract entity,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > conceptual system > concept,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > model > artificial object,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > model > information,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > tertiary source,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > instructional materials,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > creative work,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > document,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > written work,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > publication,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > conceptual model > knowledge organization system > reference work > project,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > intellectual work > work > artificial object > object,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > intellectual work > work > cultural artifact > artificial object,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > intellectual work > work > cultural artifact > cultural heritage,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > intellectual work > intellectual property > property > goods,mode_score,mode_score,no,0.0,40.9,,
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained model,Q25305554,,mathematical model > intellectual work > intellectual property > intangible asset > asset,mode_score,mode_score,no,0.0,40.9,,
