docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,none,none,no,0,0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > geographic entity,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > concrete object,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > physical location,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > geographic entity > geolocatable entity,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > geographic entity > region of space,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > artificial object > object,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of artificial physical objects > group of physical objects > group or class of physical objects,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of artificial physical objects > group of physical objects > group,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of geographic locations > group > set,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > group > set,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > work > artificial object,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > work > cultural artifact,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > physical structure,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > artificial physical object,exact_label,exact_label,no,100,50,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > technical system,exact_label,exact_label,no,100,50,,
