kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
convective instability,Q3268911,Convective instability,label,1,0,0.6,2.08,0.0,3.0,0.0,38.1,1.0,3.0,0.8,2.0,1.5,2.2,2.0,4.0,20.0,0.0,32.7
CVD,Q389735,cardiovascular disease,alias,0,1,3.0,4.3,2.0,5.0,34.0,46.8,0.154,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,51.84
CVD,Q505668,Chemical vapor deposition,alias,0,1,5.9,3.47,0.0,3.0,0.0,37.0,0.333,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,52.83
CVD,Q17928815,FLNA,none,0,0,1.2,1.95,1.0,2.0,22.6,19.3,0.105,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.09
CVD,Q5692507,Heart valve dysplasia,none,0,0,0.0,1.79,2.0,3.0,32.2,35.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.56
CVD,Q18030587,PLD1,none,0,0,1.2,1.39,1.0,2.0,22.6,19.3,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.99
CVD,Q102459691,Cardiovascular Digital Health Journal,none,0,0,0.0,0.0,1.0,0.0,24.8,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.05
CVD,Q55118269,Cardiovascular Disease Ontology,none,0,0,0.0,0.0,1.0,0.0,24.5,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.05
CVD,Q65391441,CVD 909 Vi Prime Boost Study,none,0,0,0.6,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.72
CVD,Q100262880,Clean Vehicles Directive,alias,0,1,0.6,0.69,1.0,0.0,15.1,0.0,0.5,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,25.42
CVD,Q63394690,CVD Nutrition Education for Low Literacy ESL Students,none,0,0,1.8,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.14
CVD,Q66065283,CVD 37000: Immunity and Microbiome Studies at Intestinal and Systemic Sites in Ty21a Vaccinated Adults,none,0,0,2.4,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.85
CVD,Q63599804,CVD 38000: Study of Responses to Vaccination With Typhoid and/or Cholera,none,0,0,3.6,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.27
CVD,Q62054033,CVD Nutrition Education,none,0,0,0.6,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.72
CVD,Q65382839,CVD Risk Reduction Trial,none,0,0,0.6,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.72
CVD,Q96052471,Cockpit Voice and Data Recorder,none,0,0,0.6,0.0,0.0,4.0,0.0,39.7,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.43
CVD,Q63805151,CVD Risk Factor Knowledge Across Age Groups,none,0,0,0.6,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.72
CVD,Q66061699,CVD Risk and Health in Postmenopausal Phytoestrogen Users,none,0,0,1.8,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.14
CVD,Q130882675,Cardiovascular Diseases Research Institute,none,0,0,0.6,0.0,1.0,0.0,21.4,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.73
CVD,Q126392607,CVD coated cutting tool,none,0,0,0.6,0.0,1.0,0.0,16.7,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.68
CVD,Q126392874,CVD coated cutting tool,none,0,0,0.6,0.0,1.0,0.0,16.7,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.68
CVD,Q66036763,CVD Risk Factors and Sexual Identity in Women,none,0,0,1.8,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.14
CVD,Q106641023,CVD-0013943,none,0,0,0.6,0.0,1.0,2.0,25.6,29.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.2
CVD,Q105699400,Computer Vision meets Databases,none,0,0,0.0,0.0,1.0,0.0,24.3,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.04
CVD,Q66060160,CVD Nutrition Modules Tailored to Low Literacy Skills,none,0,0,1.8,0.0,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.14
CVD,Q559486,cycle de développement,none,0,0,1.8,3.3,0.0,2.0,0.0,34.6,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.25
CVD,Q188722,CQFD,alias,0,1,0.6,3.85,2.0,0.0,21.6,0.0,0.4,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,38.96
CVD,Q105427364,King's Commissioner of Drenthe,none,0,0,0.6,0.0,1.0,2.0,28.2,28.3,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.22
CVD,Q2610633,Commissariaat voor de Media,none,0,0,0.0,1.1,1.0,0.0,24.7,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.6
